Exported SMaRT Impedance Data
Experiment start time : 03-10-2022 11:48:58
Result Number;Sweep Number;Point Number;Time;frequency (Hz);AC Level (V);DC Level (V);Set Point ('C);Temperature ('C);Control ('C);Impedance Magnitude (Ohms);Impedance Phase Degrees (');Admittance Magnitude (S);Capacitance Magnitude (F);Result Number.Sweep Number.Point Number.Time.Frequency (Hz).AC Level (V).DC Level (V).Set Point ('C).Temperature ('C).Control ('C).Impedance Magnitude (Ohms).Impedance Phase Degrees (').Admittance Magnitude (S).Capacitance Magnitude (F)
1;1;1;00:00:09;1000000;0.025;0;-;-;-;638.3011;-24.62011;1.566659E-03;2.493415E-10;
2;1;2;00:00:16;630957.3125;0.025;0;-;-;-;677.1277;-17.04364;1.476826E-03;3.7252E-10;
3;1;3;00:00:18;398107.1875;0.025;0;-;-;-;698.748;-11.86599;1.431131E-03;5.721364E-10;
4;1;4;00:00:20;251188.640625;0.025;0;-;-;-;711.9318;-9.356994;1.404629E-03;8.899833E-10;
5;1;5;00:00:22;158489.3125;0.025;0;-;-;-;723.1121;-8.349609;1.382912E-03;1.38872E-09;
6;1;6;00:00:24;100000;0.025;0;-;-;-;735.1837;-8.608434;1.360204E-03;2.164833E-09;
7;1;7;00:00:29;63095.734375;0.025;0;-;-;-;750.208;-10.05162;1.332964E-03;3.362316E-09;
8;1;8;00:00:31;39810.71875;0.025;0;-;-;-;774.915;-12.70751;1.290464E-03;5.159007E-09;
9;1;9;00:00:33;25118.86328125;0.025;0;-;-;-;814.45;-16.61898;1.227823E-03;7.779574E-09;
10;1;10;00:00:35;15848.931640625;0.025;0;-;-;-;878.2452;-21.76895;1.138634E-03;1.143417E-08;
11;1;11;00:00:37;10000;0.025;0;-;-;-;980.9073;-27.97616;1.019464E-03;1.622528E-08;
12;1;12;00:00:39;6309.5732421875;0.025;0;-;-;-;1143.516;-34.8028;8.744962E-04;2.205861E-08;
13;1;13;00:00:41;3981.07177734375;0.025;0;-;-;-;1394.232;-41.63583;7.172409E-04;2.86738E-08;
14;1;14;00:00:43;2511.88647460938;0.025;0;-;-;-;1770.303;-47.96995;5.648751E-04;3.57909E-08;
15;1;15;00:00:45;1584.89318847656;0.025;0;-;-;-;2323.763;-53.58452;4.303365E-04;4.321438E-08;
16;1;16;00:00:47;1000;0.025;0;-;-;-;3131.596;-58.47617;3.19326E-04;5.082233E-08;
17;1;17;00:00:49;630.957336425781;0.025;0;-;-;-;4322.024;-62.71214;2.313731E-04;5.836238E-08;
18;1;18;00:00:51;398.107177734375;0.025;0;-;-;-;6086.174;-66.31947;1.643068E-04;6.568646E-08;
19;1;19;00:00:55;251.18864440918;0.025;0;-;-;-;8714.87;-69.24011;1.147464E-04;7.270416E-08;
20;1;20;00:00:57;158.489318847656;0.025;0;-;-;-;12653.09;-71.45737;7.903211E-05;7.936404E-08;
21;1;21;00:00:59;100;0.025;0;-;-;-;18524.55;-72.96834;5.398241E-05;8.591568E-08;
22;1;22;00:01:01;63.0957374572754;0.025;0;-;-;-;27243.32;-73.88898;3.670625E-05;9.258918E-08;
23;1;23;00:01:03;39.8107147216797;0.025;0;-;-;-;40047.97;-74.30918;2.497005E-05;9.982509E-08;
24;1;24;00:01:05;25.1188640594482;0.025;0;-;-;-;58862.58;-74.341;1.698872E-05;1.076418E-07;
