Exported SMaRT Impedance Data
Experiment start time : 03-10-2022 13:22:36
Result Number;Sweep Number;Point Number;Time;frequency (Hz);AC Level (V);DC Level (V);Set Point ('C);Temperature ('C);Control ('C);Impedance Magnitude (Ohms);Impedance Phase Degrees (');Admittance Magnitude (S);Capacitance Magnitude (F);Result Number.Sweep Number.Point Number.Time.Frequency (Hz).AC Level (V).DC Level (V).Set Point ('C).Temperature ('C).Control ('C).Impedance Magnitude (Ohms).Impedance Phase Degrees (').Admittance Magnitude (S).Capacitance Magnitude (F)
1;1;1;00:00:11;1000000;0.025;0;-;-;-;621.7068;-23.20894;1.608475E-03;2.559969E-10;
2;1;2;00:00:17;630957.3125;0.025;0;-;-;-;656.7368;-15.4601;1.52268E-03;3.840864E-10;
3;1;3;00:00:20;398107.1875;0.025;0;-;-;-;674.5509;-9.944582;1.482468E-03;5.926598E-10;
4;1;4;00:00:22;251188.640625;0.025;0;-;-;-;683.3837;-6.864289;1.463307E-03;9.27162E-10;
5;1;5;00:00:24;158489.3125;0.025;0;-;-;-;688.7537;-4.989792;1.451898E-03;1.457996E-09;
6;1;6;00:00:26;100000;0.025;0;-;-;-;692.5132;-3.969957;1.444016E-03;2.298223E-09;
7;1;7;00:00:30;63095.734375;0.025;0;-;-;-;695.0524;-3.610984;1.438741E-03;3.629131E-09;
8;1;8;00:00:32;39810.71875;0.025;0;-;-;-;699.3553;-3.817964;1.429888E-03;5.716396E-09;
9;1;9;00:00:34;25118.86328125;0.025;0;-;-;-;705.489;-4.566336;1.417457E-03;8.98111E-09;
10;1;10;00:00:36;15848.931640625;0.025;0;-;-;-;714.3638;-5.86416;1.399847E-03;1.405727E-08;
11;1;11;00:00:38;10000;0.025;0;-;-;-;727.2989;-7.836781;1.374951E-03;2.188302E-08;
12;1;12;00:00:40;6309.5732421875;0.025;0;-;-;-;746.2216;-10.69069;1.340085E-03;3.380278E-08;
13;1;13;00:00:42;3981.07177734375;0.025;0;-;-;-;774.9726;-14.73491;1.290368E-03;5.158624E-08;
14;1;14;00:00:44;2511.88647460938;0.025;0;-;-;-;821.4033;-20.36156;1.217429E-03;7.713719E-08;
15;1;15;00:00:46;1584.89318847656;0.025;0;-;-;-;902.0009;-27.83623;1.108646E-03;1.113303E-07;
16;1;16;00:00:48;1000;0.025;0;-;-;-;1047.554;-36.81769;9.546045E-04;1.519301E-07;
17;1;17;00:00:50;630.957336425781;0.025;0;-;-;-;1303.303;-46.10441;7.67281E-04;1.935418E-07;
18;1;18;00:00:52;398.107177734375;0.025;0;-;-;-;1726.312;-54.31401;5.792698E-04;2.3158E-07;
19;1;19;00:00:55;251.18864440918;0.025;0;-;-;-;2389.186;-60.79829;4.185526E-04;2.65198E-07;
20;1;20;00:00:58;158.489318847656;0.025;0;-;-;-;3392.698;-65.61611;2.947507E-04;2.959887E-07;
21;1;21;00:01:00;100;0.025;0;-;-;-;4896.356;-69.17507;2.042335E-04;3.250478E-07;
22;1;22;00:01:02;63.0957374572754;0.025;0;-;-;-;7142.302;-71.82505;1.400109E-04;3.531686E-07;
23;1;23;00:01:04;39.8107147216797;0.025;0;-;-;-;10498.76;-73.81987;9.524936E-05;3.807872E-07;
24;1;24;00:01:06;25.1188640594482;0.025;0;-;-;-;15512.54;-75.36243;6.446397E-05;4.084485E-07;
25;1;25;00:01:08;15.8489322662354;0.025;0;-;-;-;23020.11;-76.59573;4.344028E-05;4.362274E-07;
26;1;26;00:01:10;10;0.025;0;-;-;-;34270.07;-77.66235;2.917999E-05;4.64414E-07;
27;1;27;00:01:12;6.30957365036011;0.025;0;-;-;-;51265.87;-78.61472;1.950616E-05;4.920304E-07;
28;1;28;00:01:14;3.98107171058655;0.025;0;-;-;-;77014.45;-79.48553;1.298457E-05;5.190963E-07;
29;1;29;00:01:17;2.51188659667969;0.025;0;-;-;-;116330.6;-80.24288;8.596189E-06;5.446609E-07;
30;1;30;00:01:19;1.58489310741425;0.025;0;-;-;-;176073.7;-80.94587;5.679441E-06;5.703295E-07;
31;1;31;00:01:21;1;0.025;0;-;-;-;267744.8;-81.58305;3.7349E-06;5.944279E-07;
32;2;1;00:01:29;1000000;0.025;0;-;-;-;603.477;-22.38694;1.657064E-03;2.6373E-10;
33;2;2;00:01:35;630957.3125;0.025;0;-;-;-;636.8345;-14.93705;1.570267E-03;3.960897E-10;
34;2;3;00:01:37;398107.1875;0.025;0;-;-;-;653.6542;-9.627853;1.529861E-03;6.116065E-10;
35;2;4;00:01:39;251188.640625;0.025;0;-;-;-;662.246;-6.675548;1.510013E-03;9.567553E-10;
36;2;5;00:01:41;158489.3125;0.025;0;-;-;-;667.7647;-4.890749;1.497534E-03;1.503823E-09;
37;2;6;00:01:43;100000;0.025;0;-;-;-;671.6904;-3.933865;1.488781E-03;2.36947E-09;
38;2;7;00:01:48;63095.734375;0.025;0;-;-;-;674.9603;-3.62553;1.481569E-03;3.737163E-09;
39;2;8;00:01:50;39810.71875;0.025;0;-;-;-;679.4794;-3.876814;1.471715E-03;5.88361E-09;
40;2;9;00:01:52;25118.86328125;0.025;0;-;-;-;685.9131;-4.67157;1.457911E-03;9.237429E-09;
41;2;10;00:01:55;15848.931640625;0.025;0;-;-;-;695.0708;-6.029056;1.438702E-03;1.444745E-08;
42;2;11;00:01:57;10000;0.025;0;-;-;-;707.9208;-8.080926;1.412587E-03;2.248203E-08;
43;2;12;00:01:59;6309.5732421875;0.025;0;-;-;-;727.1499;-11.04254;1.375232E-03;3.468936E-08;
44;2;13;00:02:01;3981.07177734375;0.025;0;-;-;-;756.3214;-15.23714;1.322189E-03;5.285838E-08;
45;2;14;00:02:04;2511.88647460938;0.025;0;-;-;-;803.7028;-21.06771;1.244241E-03;7.883604E-08;
46;2;15;00:02:06;1584.89318847656;0.025;0;-;-;-;886.578;-28.77929;1.127932E-03;1.13267E-07;
47;2;16;00:02:08;1000;0.025;0;-;-;-;1036.821;-37.94157;9.644867E-04;1.535029E-07;
48;2;17;00:02:10;630.957336425781;0.025;0;-;-;-;1300.531;-47.27307;7.689166E-04;1.939543E-07;
49;2;18;00:02:12;398.107177734375;0.025;0;-;-;-;1735.136;-55.39119;5.763237E-04;2.304022E-07;
50;2;19;00:02:15;251.18864440918;0.025;0;-;-;-;2414.179;-61.72254;4.142195E-04;2.624525E-07;
51;2;20;00:02:18;158.489318847656;0.025;0;-;-;-;3442.31;-66.39114;2.905026E-04;2.917227E-07;
52;2;21;00:02:20;100;0.025;0;-;-;-;4984.781;-69.81848;2.006106E-04;3.192818E-07;
53;2;22;00:02:22;63.0957374572754;0.025;0;-;-;-;7289.341;-72.32489;1.371866E-04;3.460445E-07;
54;2;23;00:02:24;39.8107147216797;0.025;0;-;-;-;10734.57;-74.17175;9.315693E-05;3.724221E-07;
55;2;24;00:02:26;25.1188640594482;0.025;0;-;-;-;15872.61;-75.55361;6.300162E-05;3.991829E-07;
56;2;25;00:02:27;15.8489322662354;0.025;0;-;-;-;23546.97;-76.64237;4.24683E-05;4.264667E-07;
57;2;26;00:02:30;10;0.025;0;-;-;-;35013.33;-77.6005;2.856055E-05;4.545553E-07;
58;2;27;00:02:32;6.30957365036011;0.025;0;-;-;-;52294.86;-78.48074;1.912234E-05;4.823489E-07;
59;2;28;00:02:34;3.98107171058655;0.025;0;-;-;-;78460.25;-79.29155;1.274531E-05;5.095309E-07;
60;2;29;00:02:37;2.51188659667969;0.025;0;-;-;-;118194.9;-80.04265;8.460603E-06;5.3607E-07;
61;2;30;00:02:39;1.58489310741425;0.025;0;-;-;-;178675.8;-80.73206;5.596728E-06;5.620235E-07;
62;2;31;00:02:41;1;0.025;0;-;-;-;271469;-81.33066;3.683662E-06;5.862731E-07;
63;3;1;00:02:49;1000000;0.025;0;-;-;-;593.6901;-21.97071;1.68438E-03;2.680775E-10;
64;3;2;00:02:55;630957.3125;0.025;0;-;-;-;626.0497;-14.65264;1.597317E-03;4.029131E-10;
65;3;3;00:02:57;398107.1875;0.025;0;-;-;-;642.4028;-9.447941;1.556656E-03;6.223186E-10;
66;3;4;00:02:59;251188.640625;0.025;0;-;-;-;650.8189;-6.562461;1.536526E-03;9.73554E-10;
67;3;5;00:03:01;158489.3125;0.025;0;-;-;-;656.2928;-4.829313;1.52371E-03;1.53011E-09;
68;3;6;00:03:03;100000;0.025;0;-;-;-;660.3398;-3.903415;1.514372E-03;2.410198E-09;
69;3;7;00:03:08;63095.734375;0.025;0;-;-;-;663.9982;-3.617016;1.506028E-03;3.79886E-09;
70;3;8;00:03:10;39810.71875;0.025;0;-;-;-;668.6055;-3.892658;1.49565E-03;5.979298E-09;
71;3;9;00:03:12;25118.86328125;0.025;0;-;-;-;675.1497;-4.70975;1.481153E-03;9.384696E-09;
72;3;10;00:03:14;15848.931640625;0.025;0;-;-;-;684.3831;-6.094263;1.46117E-03;1.467307E-08;
73;3;11;00:03:15;10000;0.025;0;-;-;-;697.5777;-8.182199;1.433532E-03;2.281538E-08;
74;3;12;00:03:17;6309.5732421875;0.025;0;-;-;-;716.8695;-11.18749;1.394954E-03;3.518683E-08;
75;3;13;00:03:19;3981.07177734375;0.025;0;-;-;-;746.2133;-15.45026;0.0013401;5.357439E-08;
