Exported SMaRT Impedance Data
Experiment start time : 02-08-2022 14:56:49
Result Number;Sweep Number;Point Number;Time;frequency (Hz);AC Level (V);DC Level (V);Set Point ('C);Temperature ('C);Control ('C);Impedance Magnitude (Ohms);Impedance Phase Degrees (');Admittance Magnitude (S);Capacitance Magnitude (F);Result Number.Sweep Number.Point Number.Time.Frequency (Hz).AC Level (V).DC Level (V).Set Point ('C).Temperature ('C).Control ('C).Impedance Magnitude (Ohms).Impedance Phase Degrees (').Admittance Magnitude (S).Capacitance Magnitude (F)
1;1;1;00:00:11;1000000;0.025;0;-;-;-;605.4174;-23.14374;1.651753E-03;2.628847E-10;
2;1;2;00:00:18;630957.3125;0.025;0;-;-;-;639.4175;-15.64174;1.563924E-03;3.944898E-10;
3;1;3;00:00:20;398107.1875;0.025;0;-;-;-;657.0299;-10.43118;1.522001E-03;6.084642E-10;
4;1;4;00:00:22;251188.640625;0.025;0;-;-;-;666.473;-7.643956;1.500436E-03;9.506873E-10;
5;1;5;00:00:24;158489.3125;0.025;0;-;-;-;672.9739;-6.177274;1.485942E-03;1.492183E-09;
6;1;6;00:00:26;100000;0.025;0;-;-;-;678.4195;-5.744631;1.474014E-03;2.345967E-09;
7;1;7;00:00:31;63095.734375;0.025;0;-;-;-;683.5089;-6.247888;1.463039E-03;3.690423E-09;
8;1;8;00:00:33;39810.71875;0.025;0;-;-;-;692.2297;-7.734879;1.444607E-03;5.775239E-09;
9;1;9;00:00:55;25118.86328125;0.025;0;-;-;-;706.4979;-10.35674;1.415432E-03;8.968285E-09;
10;1;10;00:00:57;15848.931640625;0.025;0;-;-;-;723.456;-14.39427;1.382254E-03;1.38806E-08;
11;1;11;00:00:59;10000;0.025;0;-;-;-;766.7385;-19.94717;1.304226E-03;2.07574E-08;
12;1;12;00:01:01;6309.5732421875;0.025;0;-;-;-;843.6295;-27.0642;1.185354E-03;2.989981E-08;
13;1;13;00:01:03;3981.07177734375;0.025;0;-;-;-;977.4097;-35.2852;1.023112E-03;4.090191E-08;
14;1;14;00:01:05;2511.88647460938;0.025;0;-;-;-;1201.302;-43.68715;8.324302E-04;5.27434E-08;
15;1;15;00:01:06;1584.89318847656;0.025;0;-;-;-;1558.982;-51.30487;6.414441E-04;6.441382E-08;
16;1;16;00:01:09;1000;0.025;0;-;-;-;2108.751;-57.59332;4.742143E-04;7.547356E-08;
17;1;17;00:01:11;630.957336425781;0.025;0;-;-;-;2931.718;-62.50646;3.410969E-04;8.603953E-08;
18;1;18;00:01:13;398.107177734375;0.025;0;-;-;-;4154.546;-66.29995;2.407002E-04;9.622692E-08;
19;1;19;00:01:17;251.18864440918;0.025;0;-;-;-;5962.479;-69.20405;1.677155E-04;1.062658E-07;
