Exported SMaRT Impedance Data
Experiment start time : 02-08-2022 15:52:07
Result Number;Sweep Number;Point Number;Time;frequency (Hz);AC Level (V);DC Level (V);Set Point ('C);Temperature ('C);Control ('C);Impedance Magnitude (Ohms);Impedance Phase Degrees (');Admittance Magnitude (S);Capacitance Magnitude (F);Result Number.Sweep Number.Point Number.Time.Frequency (Hz).AC Level (V).DC Level (V).Set Point ('C).Temperature ('C).Control ('C).Impedance Magnitude (Ohms).Impedance Phase Degrees (').Admittance Magnitude (S).Capacitance Magnitude (F)
1;1;1;00:00:11;1000000;0.025;0;-;-;-;609.4048;-23.6827;1.640945E-03;2.611646E-10;
2;1;2;00:00:31;630957.3125;0.025;0;-;-;-;637.4239;-16.00108;1.568815E-03;3.957236E-10;
3;1;3;00:00:34;398107.1875;0.025;0;-;-;-;657.4142;-10.85667;1.521111E-03;6.081086E-10;
4;1;4;00:00:36;251188.640625;0.025;0;-;-;-;669.8033;-8.032516;1.492976E-03;9.459603E-10;
5;1;5;00:00:38;158489.3125;0.025;0;-;-;-;679.506;-6.398915;1.471657E-03;1.477838E-09;
6;1;6;00:00:40;100000;0.025;0;-;-;-;688.287;-5.609324;1.452882E-03;2.312335E-09;
7;1;7;00:00:44;63095.734375;0.025;0;-;-;-;696.1577;-5.509643;1.436456E-03;3.623369E-09;
8;1;8;00:00:46;39810.71875;0.025;0;-;-;-;707.0941;-6.008925;1.414239E-03;5.653833E-09;
9;1;9;00:00:48;25118.86328125;0.025;0;-;-;-;721.311;-7.096153;1.386364E-03;8.784109E-09;
10;1;10;00:00:50;15848.931640625;0.025;0;-;-;-;740.6556;-8.779043;1.350155E-03;1.355826E-08;
11;1;11;00:00:52;10000;0.025;0;-;-;-;767.668;-11.12697;1.302646E-03;2.073227E-08;
12;1;12;00:00:54;6309.5732421875;0.025;0;-;-;-;806.3688;-14.22199;1.240127E-03;3.128142E-08;
13;1;13;00:00:56;3981.07177734375;0.025;0;-;-;-;862.915;-18.10163;1.158863E-03;4.632892E-08;
14;1;14;00:00:58;2511.88647460938;0.025;0;-;-;-;946.5225;-22.69131;1.056499E-03;6.694054E-08;
15;1;15;00:01:00;1584.89318847656;0.025;0;-;-;-;1069.186;-27.76568;9.352911E-04;9.392193E-08;
16;1;16;00:01:02;1000;0.025;0;-;-;-;1246.454;-33.03785;8.022757E-04;1.276862E-07;
17;1;17;00:01:04;630.957336425781;0.025;0;-;-;-;1498.303;-38.2548;6.674218E-04;1.683529E-07;
18;1;18;00:01:06;398.107177734375;0.025;0;-;-;-;1851.966;-43.27372;5.399667E-04;2.158675E-07;
19;1;19;00:01:10;251.18864440918;0.025;0;-;-;-;2348.758;-48.08934;4.25757E-04;2.697628E-07;
20;1;20;00:01:12;158.489318847656;0.025;0;-;-;-;3045.006;-52.73491;3.284066E-04;3.297859E-07;
21;1;21;00:01:14;100;0.025;0;-;-;-;4040.42;-57.35505;2.47499E-04;3.93907E-07;
22;1;22;00:01:16;63.0957374572754;0.025;0;-;-;-;5491.459;-61.99345;1.82101E-04;4.593381E-07;
23;1;23;00:01:18;39.8107147216797;0.025;0;-;-;-;7659.973;-66.60813;1.305488E-04;5.219069E-07;
